year,total,poplulation,female,female_population,male,male_population,< 1 year,< 1 year_population,1-4 years,1-4 years_population,5-14 years,5-14 years_population,15-24 years,15-24 years_population,25-34 years,25-34 years_population,35-44 years,35-44 years_population,45-54 years,45-54 years_population,55-64 years,55-64 years_population,65-74 years,65-74 years_population,75-84 years,75-84 years_population,85+ years,85+ years_population,Not Stated,American Indian or Alaska Native,Indian_population,Asian or Pacific Islander,Asian_population,Black or African American,Black_population,White,White_population
1999,1067,279040168,417,142237295,650,136802873,8,3795762,26,15339782,8,40819824,21,38676031,42,40178406,99,45076677,148,36577819,130,23778026,192,18418909,262,12224914,126,4154018,5,15,2832761,5,11346496,366,36173121,681,228687790
2000,494,281421906,177,143368343,317,138053563,13,3805648,24,15370150,7,41077577,20,39183891,26,39891724,45,45148527,48,37677952,65,24274684,83,18390986,100,12361180,55,4239587,8,7,2984150,6,11757685,133,36594309,348,230085762
2001,538,284968955,183,145077463,355,139891492,15,4012658,31,15285559,5,41152040,11,40213570,22,39471522,53,45051752,81,39386268,65,25105295,83,18384179,108,12593618,51,4312494,13,6,3097333,2,12429181,109,37249775,421,232192666
2002,625,287625193,211,146394634,414,141230559,20,3951461,18,15477731,7,41133838,14,40854135,47,39349646,85,44640649,105,39992194,71,26703332,77,18388535,124,12764864,48,4368808,9,6,3202471,7,12953763,153,37748424,459,233720535
2003,413,290107933,124,147679036,289,142428897,17,3975871,23,15616575,3,41036204,16,41388854,31,39243795,53,44154206,60,40819954,60,28008945,43,18500915,66,12896438,35,4466176,6,11,3312011,8,13461109,81,38209741,313,235125072
2004,309,292805298,81,148977286,228,143828012,18,4014258,23,15771627,3,40865917,19,41948112,18,39266556,43,43800275,56,41629930,33,29305304,32,18667533,31,12989903,20,4545883,13,5,3429452,7,13967014,41,38738798,256,236670034
2005,704,295516599,221,150319521,483,145197078,16,4004393,34,15913007,7,40601646,30,42446169,49,39258647,65,43505538,126,42495904,100,30641497,103,18881697,94,13074802,72,4693299,8,10,3554356,14,14494417,153,39280731,527,238187095
2006,1006,298379912,310,151732647,696,146647265,11,4041738,27,15897145,9,40577826,24,42843844,51,39395179,111,43243801,169,43286159,176,31930113,157,19203027,165,13095151,98,4865929,8,18,3687683,8,15029851,229,39857107,751,239805271
2007,546,301231207,166,153166353,380,148064854,19,4147997,23,15977965,3,40555653,19,43145815,26,39713463,49,42796230,110,43939939,88,33128434,81,19698727,81,13087439,46,5039545,1,9,3829898,10,15559373,133,40451108,394,241390828
2008,502,304093966,162,154604015,340,149489951,23,4132735,31,16138392,6,40636257,16,43391492,33,40207473,51,42192486,81,44460447,77,34157063,60,20505679,73,13076102,48,5195840,3,13,3983929,9,16094699,112,41048959,368,242966379
2009,555,306771529,169,155964075,386,150807454,19,4003587,26,16240931,7,40843063,18,43576932,37,40723342,56,41487811,103,44867088,78,35405600,63,21233099,71,13022775,61,5367301,16,13,4141215,11,16609031,98,41632450,433,244388833
2010,799,308745538,248,156964212,551,151781326,15,3944153,45,16257209,3,41025851,30,43626342,39,41063948,75,41070606,161,45006716,135,36482729,107,21713429,105,13061122,83,5493433,1,12,4263538,12,16993326,200,42065334,575,245423340
2011,1009,311591917,308,158301098,701,153290819,16,3996537,24,16165521,4,41039048,25,43797875,61,41790498,74,40627954,170,44718203,215,38062140,177,22481738,143,13175230,99,5737173,1,28,4347413,10,17471358,229,42678815,742,247094331
2012,837,313914040,269,159421973,568,154492067,17,3943077,29,16056267,4,41144754,15,43943905,45,42309321,69,40516420,141,44268738,162,38586202,149,23985392,123,13272634,82,5887330,1,18,4398436,13,18087959,159,43203092,647,248224553
2013,651,316128839,185,160477237,466,155651602,15,3941783,29,15926305,4,41221035,22,43954402,42,42844587,65,40452690,100,43767532,128,39316431,102,25216766,80,13446519,60,6040789,4,21,4457934,10,18630136,108,43696271,512,249344498
2014,411,318857056,128,161920569,283,156936487,15,3948350,20,15928533,8,41191072,12,43979821,32,43516504,47,40513133,66,43458851,60,40077581,55,26398290,49,13682690,47,6162231,0,18,4518981,9,19398214,61,44309394,323,250630467
2015,577,321418820,174,163189523,403,158229297,14,3978038,18,15929243,3,41109506,24,43848216,33,44137202,58,40589783,91,43188161,122,40877819,103,27550517,73,13923174,38,6287161,0,15,4577853,15,20102717,103,44863196,444,251875054
2016,821,323127513,260,164048590,561,159078923,18,3970145,32,15956892,6,41048032,21,43511027,57,44677243,74,40470156,115,42786679,174,41463144,138,28630330,105,14233534,80,6380331,1,26,4630155,17,20487524,125,45307020,653,252702814
2017,881,325719178,270,165311059,611,160408119,18,3939295,40,15999565,1,41082692,27,43250295,62,45342672,88,40875370,134,42374952,182,41995658,137,29683446,131,14706551,61,6468682,0,25,4689047,37,21210673,112,45883808,707,253935650
2018,1012,327167434,284,166038755,728,161128679,20,3848208,37,15962067,6,41075169,27,42970800,78,45697774,103,41277888,162,41631699,201,42272636,184,30492316,124,15394374,70,6544503,0,29,4739288,22,21601064,159,46262846,802,254564236
