Year,Year Code,State,StateCode,Deaths,Population,Avg Daily Max Heat Index (C),,,
1999,1999,Alabama,AL,15,4430141,33.31,,,
1999,1999,Alaska,AK,0,624779,0,,,
1999,1999,Arizona,AZ,38,5023823,30.67,,,
1999,1999,Arkansas,AR,22,2651860,33.88,,,
1999,1999,California,CA,35,33499204,30.97,,,
1999,1999,Colorado,CO,0,4226018,29.3,,,
1999,1999,Connecticut,CT,0,3386401,31.19,,,
1999,1999,Delaware,DE,0,774990,32.68,,,
1999,1999,District of Columbia,DC,0,570213,32.86,,,
1999,1999,Florida,FL,15,15759421,33.55,,,
1999,1999,Georgia,GA,29,8045965,33.32,,,
1999,1999,Hawaii,HI,0,1210300,0,,,
1999,1999,Idaho,ID,0,1275674,28.64,,,
1999,1999,Illinois,IL,161,12359020,33.76,,,
1999,1999,Indiana,IN,21,6044969,32.98,,,
1999,1999,Iowa,IA,10,2917634,33.85,,,
1999,1999,Kansas,KS,0,2678338,33.26,,,
1999,1999,Kentucky,KY,16,4018053,32.94,,,
1999,1999,Louisiana,LA,24,4460811,34.16,,,
1999,1999,Maine,ME,0,1266808,29.57,,,
1999,1999,Maryland,MD,29,5254509,32.47,,,
1999,1999,Massachusetts,MA,0,6317345,31.01,,,
1999,1999,Michigan,MI,13,9897116,31.64,,,
1999,1999,Minnesota,MN,0,4873481,32.34,,,
1999,1999,Mississippi,MS,14,2828408,33.81,,,
1999,1999,Missouri,MO,62,5561948,33.75,,,
1999,1999,Montana,MT,0,897507,29.34,,,
1999,1999,Nebraska,NE,0,1704764,32.05,,,
1999,1999,Nevada,NV,12,1934718,28.76,,,
1999,1999,New Hampshire,NH,0,1222014,30.42,,,
1999,1999,New Jersey,NJ,41,8359592,32.42,,,
1999,1999,New Mexico,NM,0,1808082,29.34,,,
1999,1999,New York,NY,60,18882725,30.89,,,
1999,1999,North Carolina,NC,15,7949361,33.31,,,
1999,1999,North Dakota,ND,0,644259,30.72,,,
1999,1999,Ohio,OH,38,11335454,31.83,,,
1999,1999,Oklahoma,OK,21,3437147,34.05,,,
1999,1999,Oregon,OR,0,3393941,28.2,,,
1999,1999,Pennsylvania,PA,115,12263805,31.2,,,
1999,1999,Rhode Island,RI,0,1040402,31.2,,,
1999,1999,South Carolina,SC,43,3974682,33.51,,,
1999,1999,South Dakota,SD,0,750412,32.12,,,
1999,1999,Tennessee,TN,30,5638706,33.12,,,
1999,1999,Texas,TX,79,20558220,33.31,,,
1999,1999,Utah,UT,0,2203482,28.74,,,
